6
Insert(-416.24,Value0)
Insert(-487.81,Value2618)
Insert(-82.46,Value2619)
Insert(132.33,Value2620)
Insert(-359.9,Value2621)
Insert(111.91,Value2622)
Insert(-277.88,Value2623)
Insert(-150.68,Value2624)
Insert(280.32,Value2625)
Insert(-469.05,Value2626)
Insert(-226.43,Value2627)
Insert(362.56,Value2628)
Insert(464.74,Value2629)
Insert(-133.89,Value2630)
Insert(30.64,Value2631)
Insert(461.32,Value2632)
Insert(-472.84,Value2633)
Insert(190.63,Value2634)
Insert(280.75,Value2635)
Insert(194.57,Value2636)
Insert(-212.0,Value2637)
Insert(-149.96,Value2638)
Insert(-36.99,Value2639)
Insert(322.9,Value2640)
Insert(179.18,Value2641)
Insert(433.44,Value2642)
Insert(499.53,Value2643)
Insert(166.51,Value2644)
Insert(-162.36,Value2645)
Insert(108.55,Value2646)
Insert(-394.62,Value2647)
Insert(373.04,Value2648)
Insert(-470.38,Value2649)
Insert(295.35,Value2650)
Insert(-56.56,Value2651)
Insert(459.85,Value2652)
Insert(258.39,Value2653)
Insert(-178.89,Value2654)
Insert(-40.83,Value2655)
Insert(-265.58,Value2656)
Insert(71.18,Value2657)
Insert(-29.65,Value2658)
Insert(-69.82,Value2659)
Insert(-213.65,Value2660)
Insert(40.94,Value2661)
Insert(57.51,Value2662)
Insert(-296.76,Value2663)
Insert(-192.03,Value2664)
Insert(-183.69,Value2665)
Insert(-103.75,Value2666)
Insert(-387.52,Value2667)
Insert(116.12,Value2668)
Insert(361.85,Value2669)
Insert(225.87,Value2670)
Insert(-136.65,Value2671)
Insert(-330.16,Value2672)
Insert(-217.48,Value2673)
Insert(432.67,Value2674)
Insert(-262.0,Value2675)
Insert(-182.47,Value2676)
Insert(492.26,Value2677)
Insert(418.14,Value2678)
Insert(236.36,Value2679)
Insert(-482.86,Value2680)
Insert(494.2,Value2681)
Insert(498.34,Value2682)
Insert(135.66,Value2683)
Insert(-35.72,Value2684)
Insert(-370.31,Value2685)
Insert(370.32,Value2686)
Insert(-101.9,Value2687)
Insert(369.81,Value2688)
Insert(346.05,Value2689)
Insert(47.61,Value2690)
Insert(58.24,Value2691)
Insert(-122.56,Value2692)
Insert(103.98,Value2693)
Insert(-192.62,Value2694)
Insert(430.09,Value2695)
Insert(-104.82,Value2696)
Insert(-360.46,Value2697)
Insert(231.61,Value2698)
Insert(-332.11,Value2699)
Insert(130.82,Value2700)
Insert(-392.59,Value2701)
Insert(-270.97,Value2702)
Insert(66.75,Value2703)
Insert(-217.44,Value2704)
Insert(-340.07,Value2705)
Insert(-466.22,Value2706)
Insert(182.0,Value2707)
Insert(-400.06,Value2708)
Insert(-11.39,Value2709)
Insert(425.81,Value2710)
Insert(463.76,Value2711)
Insert(-480.1,Value2712)
Insert(412.02,Value2713)
Insert(-365.5,Value2714)
Insert(378.45,Value2715)
Insert(-46.86,Value2716)
Insert(382.39,Value2717)
Insert(448.78,Value2718)
Insert(-103.54,Value2719)
Insert(164.57,Value2720)
Insert(92.65,Value2721)
Insert(173.55,Value2722)
Insert(448.57,Value2723)
Insert(192.89,Value2724)
Insert(-148.91,Value2725)
Insert(6.81,Value2726)
Insert(177.47,Value2727)
Insert(450.46,Value2728)
Insert(367.18,Value2729)
Insert(-14.1,Value2730)
Insert(-470.82,Value2731)
Insert(177.59,Value2732)
Insert(-258.13,Value2733)
Insert(-330.23,Value2734)
Insert(205.43,Value2735)
Insert(154.69,Value2736)
Insert(-366.92,Value2737)
Insert(-16.49,Value2738)
Insert(-383.35,Value2739)
Insert(-48.82,Value2740)
Insert(103.11,Value2741)
Insert(123.0,Value2742)
Insert(102.31,Value2743)
Insert(-406.66,Value2744)
Insert(142.44,Value2745)
Insert(16.64,Value2746)
Insert(473.16,Value2747)
Insert(310.82,Value2748)
Insert(203.08,Value2749)
Insert(246.02,Value2750)
Insert(170.86,Value2751)
Insert(190.09,Value2752)
Insert(-431.05,Value2753)
Insert(-392.68,Value2754)
Insert(-65.89,Value2755)
Insert(-291.17,Value2756)
Insert(162.78,Value2757)
Insert(-437.7,Value2758)
Insert(-315.25,Value2759)
Insert(285.83,Value2760)
Insert(370.01,Value2761)
Insert(-366.2,Value2762)
Insert(-170.07,Value2763)
Insert(252.92,Value2764)
Insert(-305.87,Value2765)
Insert(-14.51,Value2766)
Insert(-88.72,Value2767)
Insert(374.12,Value2768)
Insert(356.53,Value2769)
Insert(279.48,Value2770)
Insert(139.03,Value2771)
Insert(473.11,Value2772)
Insert(-209.82,Value2773)
Insert(92.17,Value2774)
Insert(148.33,Value2775)
Insert(230.06,Value2776)
Insert(-396.96,Value2777)
Insert(356.03,Value2778)
Insert(416.9,Value2779)
Insert(356.69,Value2780)
Insert(361.47,Value2781)
Insert(322.07,Value2782)
Insert(454.93,Value2783)
Insert(-332.52,Value2784)
Insert(254.58,Value2785)
Insert(372.91,Value2786)
Insert(388.58,Value2787)
Insert(482.48,Value2788)
Insert(5.84,Value2789)
Insert(298.68,Value2790)
Insert(-231.48,Value2791)
Insert(389.4,Value2792)
Insert(42.36,Value2793)
Insert(271.08,Value2794)
Insert(-483.53,Value2795)
Insert(-268.23,Value2796)
Insert(-167.53,Value2797)
Insert(-10.85,Value2798)
Insert(-224.72,Value2799)
Insert(381.53,Value2800)
Insert(255.99,Value2801)
Insert(149.71,Value2802)
Insert(-19.74,Value2803)
Insert(190.81,Value2804)
Insert(-385.98,Value2805)
Insert(84.8,Value2806)
Insert(323.72,Value2807)
Insert(173.18,Value2808)
Insert(-42.63,Value2809)
Insert(-50.1,Value2810)
Insert(5.21,Value2811)
Insert(397.45,Value2812)
Insert(44.73,Value2813)
Insert(-224.8,Value2814)
Insert(-271.26,Value2815)
Insert(-322.25,Value2816)
Insert(278.25,Value2817)
Insert(-369.24,Value2818)
Insert(-324.73,Value2819)
Insert(-92.32,Value2820)
Insert(-320.46,Value2821)
Insert(-345.71,Value2822)
Insert(-241.39,Value2823)
Insert(321.53,Value2824)
Insert(478.03,Value2825)
Insert(-482.6,Value2826)
Insert(-491.59,Value2827)
Insert(-12.45,Value2828)
Insert(314.65,Value2829)
Insert(294.15,Value2830)
Insert(164.06,Value2831)
Insert(-377.14,Value2832)
Insert(-437.26,Value2833)
Insert(39.59,Value2834)
Insert(-392.62,Value2835)
Insert(-260.34,Value2836)
Insert(63.61,Value2837)
Insert(413.41,Value2838)
Insert(-97.77,Value2839)
Insert(-119.34,Value2840)
Insert(-351.01,Value2841)
Insert(-338.27,Value2842)
Insert(202.56,Value2843)
Insert(-274.29,Value2844)
Insert(-410.62,Value2845)
Insert(-438.92,Value2846)
Insert(-29.03,Value2847)
Insert(443.49,Value2848)
Insert(392.19,Value2849)
Insert(273.13,Value2850)
Insert(-104.27,Value2851)
Insert(345.97,Value2852)
Insert(57.4,Value2853)
Insert(390.48,Value2854)
Insert(213.54,Value2855)
Insert(-345.29,Value2856)
Insert(496.42,Value2857)
Insert(-210.8,Value2858)
Insert(82.67,Value2859)
Insert(-438.13,Value2860)
Insert(-366.55,Value2861)
Insert(343.12,Value2862)
Insert(314.96,Value2863)
Insert(-424.46,Value2864)
Insert(-31.86,Value2865)
Insert(336.26,Value2866)
Insert(207.23,Value2867)
Insert(-235.05,Value2868)
Insert(-160.88,Value2869)
Insert(-351.98,Value2870)
Insert(-326.81,Value2871)
Insert(155.06,Value2872)
Insert(278.26,Value2873)
Insert(174.42,Value2874)
Insert(22.81,Value2875)
Insert(489.6,Value2876)
Insert(-203.81,Value2877)
Insert(366.38,Value2878)
Insert(105.53,Value2879)
Insert(-412.15,Value2880)
Insert(-343.03,Value2881)
Insert(-91.26,Value2882)
Insert(327.77,Value2883)
Insert(-351.72,Value2884)
Insert(-287.39,Value2885)
Insert(412.09,Value2886)
Insert(90.4,Value2887)
Insert(28.58,Value2888)
Insert(-385.63,Value2889)
Insert(372.87,Value2890)
Insert(430.85,Value2891)
Insert(340.39,Value2892)
Insert(392.24,Value2893)
Insert(248.73,Value2894)
Insert(-346.66,Value2895)
Insert(132.44,Value2896)
Insert(-440.2,Value2897)
Insert(-244.48,Value2898)
Insert(-218.5,Value2899)
Insert(-105.19,Value2900)
Insert(-75.67,Value2901)
Insert(-48.65,Value2902)
Insert(-150.85,Value2903)
Insert(-64.87,Value2904)
Insert(-156.31,Value2905)
Insert(297.89,Value2906)
Insert(-487.56,Value2907)
Insert(470.56,Value2908)
Insert(-303.17,Value2909)
Insert(-439.08,Value2910)
Insert(386.19,Value2911)
Insert(-485.54,Value2912)
Insert(257.09,Value2913)
Insert(185.99,Value2914)
Insert(16.89,Value2915)
Insert(440.97,Value2916)
Insert(144.78,Value2917)
Insert(175.67,Value2918)
Insert(286.47,Value2919)
Insert(-455.07,Value2920)
Insert(-420.99,Value2921)
Insert(208.64,Value2922)
Insert(-207.59,Value2923)
Insert(-204.43,Value2924)
Insert(382.34,Value2925)
Insert(229.43,Value2926)
Insert(382.81,Value2927)
Insert(64.83,Value2928)
Insert(154.17,Value2929)
Insert(313.58,Value2930)
Insert(-111.66,Value2931)
Insert(136.79,Value2932)
Insert(-121.59,Value2933)
Insert(-244.92,Value2934)
Insert(-317.71,Value2935)
Insert(275.15,Value2936)
Insert(-431.39,Value2937)
Insert(161.78,Value2938)
Insert(-87.3,Value2939)
Insert(61.79,Value2940)
Insert(-106.51,Value2941)
Insert(-491.06,Value2942)
Insert(261.31,Value2943)
Insert(377.63,Value2944)
Insert(-96.99,Value2945)
Insert(104.84,Value2946)
Insert(424.09,Value2947)
Insert(123.58,Value2948)
Insert(-185.88,Value2949)
Insert(-276.75,Value2950)
Insert(-416.26,Value2951)
Insert(86.84,Value2952)
Insert(-253.23,Value2953)
Insert(-324.99,Value2954)
Insert(119.27,Value2955)
Insert(-51.54,Value2956)
Insert(-303.75,Value2957)
Insert(201.17,Value2958)
Insert(449.08,Value2959)
Insert(147.53,Value2960)
Insert(-266.43,Value2961)
Insert(163.14,Value2962)
Insert(291.43,Value2963)
Insert(-459.58,Value2964)
Insert(440.27,Value2965)
Insert(-170.9,Value2966)
Insert(147.63,Value2967)
Insert(-47.93,Value2968)
Insert(489.6,Value2969)
Insert(-34.69,Value2970)
Insert(376.3,Value2971)
Insert(-460.74,Value2972)
Insert(-494.75,Value2973)
Insert(5.02,Value2974)
Insert(-327.19,Value2975)
Insert(210.22,Value2976)
Insert(-411.9,Value2977)
Insert(194.51,Value2978)
Insert(165.5,Value2979)
Insert(129.16,Value2980)
Insert(-279.91,Value2981)
Insert(95.92,Value2982)
Insert(50.76,Value2983)
Insert(219.39,Value2984)
Insert(-283.51,Value2985)
Insert(172.39,Value2986)
Insert(-475.98,Value2987)
Insert(11.84,Value2988)
Insert(-439.59,Value2989)
Insert(374.83,Value2990)
Insert(365.23,Value2991)
Insert(-63.59,Value2992)
Insert(-340.8,Value2993)
Insert(342.33,Value2994)
Insert(124.98,Value2995)
Insert(-437.66,Value2996)
Insert(-233.61,Value2997)
Insert(18.6,Value2998)
Insert(-441.67,Value2999)
Insert(7.45,Value3000)
Insert(-239.47,Value3001)
Insert(-61.05,Value3002)
Insert(-234.3,Value3003)
Insert(-261.42,Value3004)
Insert(346.39,Value3005)
Insert(-329.98,Value3006)
Insert(-61.67,Value3007)
Insert(-162.68,Value3008)
Insert(-110.05,Value3009)
Insert(402.04,Value3010)
Insert(409.61,Value3011)
Insert(258.58,Value3012)
Insert(-461.35,Value3013)
Insert(-14.51,Value3014)
Insert(-145.22,Value3015)
Insert(445.67,Value3016)
Insert(402.97,Value3017)
Insert(-303.9,Value3018)
Insert(-116.87,Value3019)
Insert(-309.22,Value3020)
Insert(269.36,Value3021)
Insert(317.44,Value3022)
Insert(142.98,Value3023)
Insert(293.83,Value3024)
Insert(-108.72,Value3025)
Insert(349.85,Value3026)
Insert(54.48,Value3027)
Insert(182.07,Value3028)
Insert(454.97,Value3029)
Insert(-451.38,Value3030)
Insert(-86.09,Value3031)
Insert(404.48,Value3032)
Insert(194.82,Value3033)
Insert(-454.21,Value3034)
Insert(79.35,Value3035)
Insert(-386.04,Value3036)
Insert(-4.03,Value3037)
Insert(244.05,Value3038)
Insert(357.19,Value3039)
Insert(125.68,Value3040)
Insert(-399.62,Value3041)
Insert(72.56,Value3042)
Insert(-432.82,Value3043)
Insert(-300.75,Value3044)
Insert(297.37,Value3045)
Insert(-283.58,Value3046)
Insert(-279.85,Value3047)
Insert(-373.58,Value3048)
Insert(484.74,Value3049)
Insert(413.83,Value3050)
Insert(123.92,Value3051)
Insert(355.0,Value3052)
Insert(-272.13,Value3053)
Insert(-438.69,Value3054)
Insert(420.38,Value3055)
Insert(-182.61,Value3056)
Insert(62.82,Value3057)
Insert(402.75,Value3058)
Insert(50.04,Value3059)
Insert(-24.32,Value3060)
Insert(-296.16,Value3061)
Insert(-159.42,Value3062)
Insert(-91.3,Value3063)
Insert(-422.17,Value3064)
Insert(-201.26,Value3065)
Insert(-64.6,Value3066)
Insert(429.1,Value3067)
Insert(-371.61,Value3068)
Insert(-421.67,Value3069)
Insert(-175.21,Value3070)
Insert(224.9,Value3071)
Insert(247.56,Value3072)
Insert(306.02,Value3073)
Insert(299.13,Value3074)
Insert(470.32,Value3075)
Insert(312.2,Value3076)
Insert(490.86,Value3077)
Insert(-449.58,Value3078)
Insert(-348.78,Value3079)
Insert(-14.64,Value3080)
Insert(182.32,Value3081)
Insert(-135.88,Value3082)
Insert(-479.73,Value3083)
Insert(60.79,Value3084)
Insert(193.48,Value3085)
Insert(-475.29,Value3086)
Insert(123.48,Value3087)
Insert(-220.11,Value3088)
Insert(326.0,Value3089)
Insert(-186.32,Value3090)
Insert(139.02,Value3091)
Insert(-145.27,Value3092)
Insert(-422.21,Value3093)
Insert(333.4,Value3094)
Insert(-369.23,Value3095)
Insert(375.01,Value3096)
Insert(-139.44,Value3097)
Insert(-436.91,Value3098)
Insert(-27.94,Value3099)
Insert(-453.46,Value3100)
Insert(5.96,Value3101)
Insert(403.87,Value3102)
Insert(41.26,Value3103)
Insert(-298.94,Value3104)
Insert(396.6,Value3105)
Insert(-455.44,Value3106)
Insert(-127.58,Value3107)
Insert(-314.17,Value3108)
Insert(-479.76,Value3109)
Insert(-442.41,Value3110)
Insert(469.85,Value3111)
Insert(-211.24,Value3112)
Insert(-310.11,Value3113)
Insert(173.55,Value3114)
Insert(127.57,Value3115)
Insert(-427.61,Value3116)
Insert(217.48,Value3117)
Insert(-319.4,Value3118)
Insert(-298.48,Value3119)
Insert(237.9,Value3120)
Insert(187.31,Value3121)
Insert(407.44,Value3122)
Insert(269.36,Value3123)
Insert(327.13,Value3124)
Insert(-147.43,Value3125)
Insert(-133.63,Value3126)
Insert(-57.59,Value3127)
Insert(156.85,Value3128)
Insert(219.0,Value3129)
Insert(470.92,Value3130)
Insert(-153.77,Value3131)
Insert(-231.43,Value3132)
Insert(-282.35,Value3133)
Insert(-123.03,Value3134)
Insert(-362.0,Value3135)
Insert(-290.93,Value3136)
Insert(-453.94,Value3137)
Insert(365.92,Value3138)
Insert(342.69,Value3139)
Insert(-382.64,Value3140)
Insert(-117.41,Value3141)
Insert(436.42,Value3142)
Insert(-330.66,Value3143)
Insert(401.88,Value3144)
Insert(342.54,Value3145)
Insert(163.73,Value3146)
Insert(-175.84,Value3147)
Insert(-120.5,Value3148)
Insert(-266.05,Value3149)
Insert(-362.21,Value3150)
Insert(-320.41,Value3151)
Insert(366.59,Value3152)
Insert(95.22,Value3153)
Insert(-101.86,Value3154)
Insert(153.7,Value3155)
Insert(-497.43,Value3156)
Insert(258.59,Value3157)
Insert(175.28,Value3158)
Insert(126.05,Value3159)
Insert(-192.4,Value3160)
Insert(135.5,Value3161)
Insert(-221.8,Value3162)
Insert(375.22,Value3163)
Insert(196.97,Value3164)
Insert(-9.59,Value3165)
Insert(-133.83,Value3166)
Insert(75.55,Value3167)
Insert(407.8,Value3168)
Insert(469.18,Value3169)
Insert(22.67,Value3170)
Insert(-346.72,Value3171)
Insert(340.13,Value3172)
Insert(-245.58,Value3173)
Insert(-29.68,Value3174)
Insert(-481.36,Value3175)
Insert(215.59,Value3176)
Insert(-93.14,Value3177)
Insert(442.52,Value3178)
Insert(17.73,Value3179)
Insert(-482.45,Value3180)
Insert(378.51,Value3181)
Insert(54.13,Value3182)
Insert(-42.62,Value3183)
Insert(-367.13,Value3184)
Insert(-112.25,Value3185)
Insert(-99.23,Value3186)
Insert(247.9,Value3187)
Insert(-61.18,Value3188)
Insert(-143.77,Value3189)
Insert(241.99,Value3190)
Insert(-21.99,Value3191)
Insert(-414.54,Value3192)
Insert(-155.58,Value3193)
Insert(-291.85,Value3194)
Insert(-487.8,Value3195)
Insert(255.23,Value3196)
Insert(250.38,Value3197)
Insert(346.6,Value3198)
Insert(-162.23,Value3199)
Insert(324.46,Value3200)
Insert(-9.98,Value3201)
Insert(11.2,Value3202)
Insert(-338.9,Value3203)
Insert(-197.89,Value3204)
Insert(-207.4,Value3205)
Insert(381.0,Value3206)
Insert(-52.8,Value3207)
Insert(456.56,Value3208)
Insert(70.06,Value3209)
Insert(151.89,Value3210)
Insert(479.66,Value3211)
Insert(277.19,Value3212)
Insert(-87.84,Value3213)
Insert(-37.64,Value3214)
Insert(80.89,Value3215)
Insert(60.25,Value3216)
Insert(194.26,Value3217)
Insert(350.11,Value3218)
Insert(-354.95,Value3219)
Insert(-26.77,Value3220)
Insert(-416.89,Value3221)
Insert(-161.05,Value3222)
Insert(320.88,Value3223)
Insert(-226.44,Value3224)
Insert(51.06,Value3225)
Insert(-157.14,Value3226)
Insert(425.03,Value3227)
Insert(-347.35,Value3228)
Insert(400.66,Value3229)
Insert(287.19,Value3230)
Insert(-34.24,Value3231)
Insert(-177.99,Value3232)
Insert(-369.54,Value3233)
Insert(-493.63,Value3234)
Insert(392.45,Value3235)
Insert(33.72,Value3236)
Insert(97.07,Value3237)
Insert(-330.28,Value3238)
Insert(364.91,Value3239)
Insert(225.69,Value3240)
Insert(231.84,Value3241)
Insert(-89.5,Value3242)
Insert(155.0,Value3243)
Insert(238.37,Value3244)
Insert(289.26,Value3245)
Insert(362.33,Value3246)
Insert(-45.87,Value3247)
Insert(33.39,Value3248)
Insert(358.3,Value3249)
Insert(40.39,Value3250)
Insert(-372.78,Value3251)
Insert(-450.06,Value3252)
Insert(160.32,Value3253)
Insert(-239.79,Value3254)
Insert(176.92,Value3255)
Insert(194.35,Value3256)
Insert(417.02,Value3257)
Insert(395.87,Value3258)
Insert(-36.28,Value3259)
Insert(-271.09,Value3260)
Insert(-467.08,Value3261)
Insert(125.43,Value3262)
Insert(69.86,Value3263)
Insert(-84.34,Value3264)
Insert(-52.39,Value3265)
Insert(383.15,Value3266)
Insert(-29.61,Value3267)
Insert(171.72,Value3268)
Insert(244.06,Value3269)
Insert(213.8,Value3270)
Insert(-346.77,Value3271)
Insert(224.04,Value3272)
Insert(185.15,Value3273)
Insert(430.45,Value3274)
Insert(-169.68,Value3275)
Insert(-190.66,Value3276)
Insert(-380.73,Value3277)
Insert(182.72,Value3278)
Insert(317.24,Value3279)
Insert(103.68,Value3280)
Insert(197.21,Value3281)
Insert(393.12,Value3282)
Insert(-301.9,Value3283)
Insert(409.02,Value3284)
Insert(-125.51,Value3285)
Insert(-225.75,Value3286)
Insert(456.82,Value3287)
Insert(-79.57,Value3288)
Insert(-250.6,Value3289)
Insert(-465.92,Value3290)
Insert(491.75,Value3291)
Insert(-235.68,Value3292)
Insert(-392.02,Value3293)
Insert(-381.25,Value3294)
Insert(-469.74,Value3295)
Insert(33.19,Value3296)
Insert(284.46,Value3297)
Insert(478.84,Value3298)
Insert(-179.94,Value3299)
Insert(440.62,Value3300)
Insert(-108.49,Value3301)
Insert(-236.75,Value3302)
Insert(169.28,Value3303)
Insert(433.69,Value3304)
Insert(-410.65,Value3305)
Insert(179.11,Value3306)
Insert(-319.43,Value3307)
Insert(351.0,Value3308)
Insert(237.85,Value3309)
Insert(187.93,Value3310)
Insert(-475.03,Value3311)
Insert(-298.62,Value3312)
Insert(124.44,Value3313)
Insert(292.51,Value3314)
Insert(-270.09,Value3315)
Insert(-481.75,Value3316)
Insert(431.91,Value3317)
Insert(141.24,Value3318)
Insert(293.05,Value3319)
Insert(328.66,Value3320)
Insert(-257.34,Value3321)
Insert(260.48,Value3322)
Insert(205.41,Value3323)
Insert(-172.39,Value3324)
Insert(-14.28,Value3325)
Insert(-389.78,Value3326)
Insert(-306.5,Value3327)
Insert(125.57,Value3328)
Insert(221.05,Value3329)
Insert(-134.71,Value3330)
Insert(-436.61,Value3331)
Insert(-163.76,Value3332)
Insert(-83.71,Value3333)
Insert(66.72,Value3334)
Insert(273.72,Value3335)
Insert(-78.36,Value3336)
Insert(148.37,Value3337)
Insert(153.88,Value3338)
Insert(44.06,Value3339)
Insert(326.54,Value3340)
Insert(-433.16,Value3341)
Insert(-27.44,Value3342)
Insert(134.69,Value3343)
Insert(291.67,Value3344)
Insert(-277.27,Value3345)
Insert(129.45,Value3346)
Insert(38.96,Value3347)
Insert(-466.1,Value3348)
Insert(-54.44,Value3349)
Insert(-393.72,Value3350)
Insert(-391.83,Value3351)
Insert(-273.27,Value3352)
Insert(-157.44,Value3353)
Insert(-336.11,Value3354)
Insert(-187.56,Value3355)
Insert(194.84,Value3356)
Insert(189.77,Value3357)
Insert(109.49,Value3358)
Insert(-119.01,Value3359)
Insert(-229.25,Value3360)
Insert(409.46,Value3361)
Insert(-131.03,Value3362)
Insert(-15.45,Value3363)
Insert(-481.68,Value3364)
Insert(158.54,Value3365)
Insert(326.2,Value3366)
Insert(-353.75,Value3367)
Insert(-275.87,Value3368)
Insert(-448.63,Value3369)
Insert(413.82,Value3370)
Insert(20.93,Value3371)
Insert(459.3,Value3372)
Insert(-208.04,Value3373)
Insert(176.59,Value3374)
Insert(-491.91,Value3375)
Insert(103.58,Value3376)
Insert(-357.54,Value3377)
Insert(-330.04,Value3378)
Insert(151.05,Value3379)
Insert(339.26,Value3380)
Insert(94.8,Value3381)
Insert(-240.44,Value3382)
Insert(-369.31,Value3383)
Insert(-138.63,Value3384)
Insert(479.74,Value3385)
Insert(-29.68,Value3386)
Insert(-116.84,Value3387)
Insert(191.61,Value3388)
Insert(-139.04,Value3389)
Insert(47.71,Value3390)
Insert(11.77,Value3391)
Insert(238.13,Value3392)
Insert(436.39,Value3393)
Insert(57.9,Value3394)
Insert(-229.11,Value3395)
Insert(-393.88,Value3396)
Insert(-55.21,Value3397)
Insert(253.16,Value3398)
Insert(-49.62,Value3399)
Insert(-461.13,Value3400)
Insert(-87.8,Value3401)
Insert(234.4,Value3402)
Insert(-378.73,Value3403)
Insert(-157.59,Value3404)
Insert(229.67,Value3405)
Insert(133.64,Value3406)
Insert(-209.73,Value3407)
Insert(-51.11,Value3408)
Insert(383.65,Value3409)
Insert(-270.58,Value3410)
Insert(76.56,Value3411)
Insert(165.19,Value3412)
Insert(-106.82,Value3413)
Insert(-116.12,Value3414)
Insert(403.86,Value3415)
Insert(30.71,Value3416)
Insert(382.65,Value3417)
Insert(-421.6,Value3418)
Insert(57.45,Value3419)
Insert(100.59,Value3420)
Insert(-443.21,Value3421)
Insert(369.28,Value3422)
Insert(-139.27,Value3423)
Insert(482.32,Value3424)
Insert(-206.95,Value3425)
Insert(451.23,Value3426)
Insert(153.66,Value3427)
Insert(-183.12,Value3428)
Insert(36.23,Value3429)
Insert(-160.44,Value3430)
Insert(-53.18,Value3431)
Insert(-221.74,Value3432)
Insert(402.37,Value3433)
Insert(-257.38,Value3434)
Insert(76.95,Value3435)
Insert(-60.35,Value3436)
Insert(323.39,Value3437)
Insert(43.79,Value3438)
Insert(77.67,Value3439)
Insert(-279.97,Value3440)
Insert(337.57,Value3441)
Insert(253.2,Value3442)
Insert(-453.37,Value3443)
Insert(97.58,Value3444)
Insert(-382.48,Value3445)
Insert(-160.08,Value3446)
Insert(-231.94,Value3447)
Insert(-154.04,Value3448)
Insert(-471.47,Value3449)
Insert(181.74,Value3450)
Insert(-81.93,Value3451)
Insert(-37.56,Value3452)
Insert(306.36,Value3453)
Insert(-466.21,Value3454)
Insert(491.62,Value3455)
Insert(483.6,Value3456)
Insert(-358.5,Value3457)
Insert(10.63,Value3458)
Insert(-297.05,Value3459)
Insert(-306.73,Value3460)
Insert(-109.03,Value3461)
Insert(115.0,Value3462)
Insert(-219.08,Value3463)
Insert(-472.05,Value3464)
Insert(-465.03,Value3465)
Insert(-69.2,Value3466)
Insert(263.03,Value3467)
Insert(-398.1,Value3468)
Insert(-58.91,Value3469)
Insert(-142.37,Value3470)
Insert(-101.12,Value3471)
Insert(448.48,Value3472)
Insert(-341.37,Value3473)
Insert(354.25,Value3474)
Insert(-46.67,Value3475)
Insert(-456.13,Value3476)
Insert(-382.72,Value3477)
Insert(108.29,Value3478)
Insert(346.64,Value3479)
Insert(-105.76,Value3480)
Insert(-30.65,Value3481)
Insert(322.99,Value3482)
Insert(62.19,Value3483)
Insert(340.5,Value3484)
Insert(349.34,Value3485)
Insert(139.22,Value3486)
Insert(433.54,Value3487)
Insert(-207.53,Value3488)
Insert(374.88,Value3489)
Insert(-140.28,Value3490)
Insert(-471.06,Value3491)
Insert(-64.45,Value3492)
Insert(331.0,Value3493)
Insert(371.26,Value3494)
Insert(-49.57,Value3495)
Insert(64.94,Value3496)
Insert(346.5,Value3497)
Insert(-410.72,Value3498)
Insert(84.0,Value3499)
Insert(133.97,Value3500)
Insert(72.81,Value3501)
Insert(-315.17,Value3502)
Insert(-464.77,Value3503)
Insert(-451.02,Value3504)
Insert(-414.79,Value3505)
Insert(96.11,Value3506)
Insert(384.38,Value3507)
Insert(0.15,Value3508)
Insert(-447.77,Value3509)
Insert(235.12,Value3510)
Insert(-2.4,Value3511)
Insert(173.28,Value3512)
Insert(303.74,Value3513)
Insert(-298.34,Value3514)
Insert(70.68,Value3515)
Insert(-451.86,Value3516)
Insert(430.42,Value3517)
Insert(-39.02,Value3518)
Insert(-211.41,Value3519)
Insert(434.67,Value3520)
Insert(-172.82,Value3521)
Insert(-352.41,Value3522)
Insert(-215.59,Value3523)
Insert(232.14,Value3524)
Insert(-215.79,Value3525)
Insert(-469.92,Value3526)
Insert(456.1,Value3527)
Insert(284.9,Value3528)
Insert(242.52,Value3529)
Insert(-306.08,Value3530)
Insert(-405.19,Value3531)
Insert(240.3,Value3532)
Insert(11.14,Value3533)
Insert(205.46,Value3534)
Insert(-330.55,Value3535)
Insert(362.33,Value3536)
Insert(-399.55,Value3537)
Insert(436.57,Value3538)
Insert(-230.76,Value3539)
Insert(-173.78,Value3540)
Insert(286.12,Value3541)
Insert(257.45,Value3542)
Insert(-46.5,Value3543)
Insert(-165.47,Value3544)
Insert(446.18,Value3545)
Insert(353.15,Value3546)
Insert(-111.25,Value3547)
Insert(-174.76,Value3548)
Insert(437.61,Value3549)
Insert(368.08,Value3550)
Insert(-486.26,Value3551)
Insert(139.42,Value3552)
Insert(-331.53,Value3553)
Insert(-220.26,Value3554)
Insert(281.01,Value3555)
Insert(229.48,Value3556)
Insert(184.49,Value3557)
Insert(383.48,Value3558)
Insert(305.95,Value3559)
Insert(398.52,Value3560)
Insert(105.58,Value3561)
Insert(-285.49,Value3562)
Insert(-247.76,Value3563)
Insert(-120.47,Value3564)
Insert(-109.64,Value3565)
Insert(-429.83,Value3566)
Insert(8.06,Value3567)
Insert(475.76,Value3568)
Insert(-281.05,Value3569)
Insert(482.47,Value3570)
Insert(-171.07,Value3571)
Insert(-249.62,Value3572)
Insert(464.77,Value3573)
Insert(-257.29,Value3574)
Insert(461.31,Value3575)
Insert(-328.09,Value3576)
Insert(88.09,Value3577)
Insert(-214.24,Value3578)
Insert(-14.91,Value3579)
Insert(-137.67,Value3580)
Insert(292.69,Value3581)
